gara,giro,timestamp,categoria,pilota,bandiera,testo,penalita_secondi
Gran Bretagna,48,2026-07-05 15:18:49,Flag,,DOUBLE YELLOW,DOUBLE YELLOW IN TRACK SECTOR 15,
Gran Bretagna,48,2026-07-05 15:18:50,SafetyCar,,,SAFETY CAR DEPLOYED,
Gran Bretagna,48,2026-07-05 15:18:50,Other,,,OVERTAKE DISABLED,
Gran Bretagna,48,2026-07-05 15:19:57,Other,,,MARSHALS ON TRACK AT TURN 15,
Gran Bretagna,49,2026-07-05 15:22:34,Other,HAM,,INCIDENT INVOLVING CAR 44 (HAM) NOTED - YELLOW FLAG INFRINGEMENT (16:03:34),
Gran Bretagna,50,2026-07-05 15:23:46,Flag,,YELLOW,YELLOW IN TRACK SECTOR 15,
Gran Bretagna,50,2026-07-05 15:25:22,Flag,,CLEAR,CLEAR IN TRACK SECTOR 15,
Gran Bretagna,51,2026-07-05 15:25:51,Other,,,"LAPPED CARS MAY NOW OVERTAKE THE SAFETY CAR: 81, 14, 87, 31, 18, 11, 77",
Gran Bretagna,51,2026-07-05 15:27:42,SafetyCar,,,SAFETY CAR IN THIS LAP,
Gran Bretagna,51,2026-07-05 15:27:50,SafetyCar,,,SAFETY CAR DEPLOYED,
Gran Bretagna,52,2026-07-05 15:29:51,SafetyCar,,,SAFETY CAR IN THIS LAP,
Gran Bretagna,52,2026-07-05 15:31:05,Flag,,CHEQUERED,CHEQUERED FLAG,
Gran Bretagna,52,2026-07-05 15:31:16,Flag,,CLEAR,TRACK CLEAR,
Gran Bretagna,52,2026-07-05 15:31:30,Other,,,ALL PASS HOLDERS MAY ACCESS THE PIT LANE,
Gran Bretagna,52,2026-07-05 15:32:11,Other,STR,,FIA STEWARDS: PENALTY SERVED - 5 SECOND TIME PENALTY FOR CAR 18 (STR) - TRACK LIMITS,5
Gran Bretagna,52,2026-07-05 15:32:17,Other,STR,,FIA STEWARDS: PENALTY SERVED - 5 SECOND TIME PENALTY FOR CAR 18 (STR) - TRACK LIMITS (5TH OFFENCE),5
Gran Bretagna,52,2026-07-05 15:32:20,Other,STR,,FIA STEWARDS: PENALTY SERVED - 5 SECOND TIME PENALTY FOR CAR 18 (STR) - TRACK LIMITS (6TH OFFENCE),5
Gran Bretagna,52,2026-07-05 15:32:29,Other,HAM,,FIA STEWARDS: INCIDENT INVOLVING CAR 44 (HAM) WILL BE INVESTIGATED AFTER THE RACE - YELLOW FLAG INFRINGEMENT (16:03:34),
Gran Bretagna,52,2026-07-05 15:37:02,Other,STR,,CAR 18 (STR) TIME 1:40.212 DELETED - TRACK LIMITS AT TURN 15 LAP 42 16:13:44,
Gran Bretagna,52,2026-07-05 15:37:08,Other,STR,,INCIDENT INVOLVING CAR 18 (STR) NOTED - TRACK LIMITS,
Gran Bretagna,52,2026-07-05 15:37:19,Other,STR,,FIA STEWARDS: INCIDENT INVOLVING CAR 18 (STR) WILL BE INVESTIGATED AFTER THE RACE - TRACK LIMITS,
Gran Bretagna,52,2026-07-05 15:41:44,Other,SAI,,INCIDENT INVOLVING CAR 55 (SAI) NOTED - SAFETY CAR INFRINGEMENT (16:26:02),
Gran Bretagna,52,2026-07-05 15:41:57,Other,SAI,,FIA STEWARDS: INCIDENT INVOLVING CAR 55 (SAI) WILL BE INVESTIGATED AFTER THE RACE - SAFETY CAR INFRINGEMENT (16:26:02),
