aria,norm,outlier,life_min,min_block,compound_strat,rho,p_glob,n_blocchi
2.0,med_gara,1.07,4,5,1,0.329358,0.000500,2617
2.0,med_gara,1.07,4,8,0,0.365087,0.000500,2341
2.0,med_gara,1.07,4,8,1,0.333091,0.000500,1440
2.0,med_gara,1.1,3,5,0,0.373869,0.000500,2786
2.0,med_gara,1.1,3,5,1,0.341428,0.000500,2724
2.0,med_gara,1.1,3,8,0,0.376871,0.000500,2443
2.0,med_gara,1.1,3,8,1,0.341808,0.000500,1534
2.0,med_gara,1.1,4,5,0,0.363991,0.000500,2722
2.0,med_gara,1.1,4,5,1,0.329003,0.000500,2619
2.0,med_gara,1.1,4,8,0,0.364831,0.000500,2341
2.0,med_gara,1.1,4,8,1,0.332903,0.000500,1441
2.0,med_stint,1.05,3,5,0,0.003389,0.286357,2783
2.0,med_stint,1.05,3,5,1,0.016332,0.010495,2721
2.0,med_stint,1.05,3,8,0,0.001814,0.369815,2439
2.0,med_stint,1.05,3,8,1,0.002425,0.365817,1531
2.0,med_stint,1.05,4,5,0,0.001871,0.391304,2722
2.0,med_stint,1.05,4,5,1,0.013462,0.035482,2616
2.0,med_stint,1.05,4,8,0,-0.002128,0.611694,2338
2.0,med_stint,1.05,4,8,1,0.005174,0.283858,1438
2.0,med_stint,1.07,3,5,0,0.003506,0.279360,2783
2.0,med_stint,1.07,3,5,1,0.016393,0.012994,2723
2.0,med_stint,1.07,3,8,0,0.001942,0.374313,2443
2.0,med_stint,1.07,3,8,1,0.002871,0.363318,1533
2.0,med_stint,1.07,4,5,0,0.002269,0.346827,2722
2.0,med_stint,1.07,4,5,1,0.013648,0.031484,2617
2.0,med_stint,1.07,4,8,0,-0.001713,0.596202,2341
2.0,med_stint,1.07,4,8,1,0.005990,0.244878,1440
2.0,med_stint,1.1,3,5,0,0.003108,0.292854,2786
2.0,med_stint,1.1,3,5,1,0.016407,0.012994,2724
2.0,med_stint,1.1,3,8,0,0.001757,0.391304,2443
2.0,med_stint,1.1,3,8,1,0.003166,0.364318,1534
2.0,med_stint,1.1,4,5,0,0.002063,0.370815,2722
2.0,med_stint,1.1,4,5,1,0.013399,0.034483,2619
2.0,med_stint,1.1,4,8,0,-0.001940,0.609195,2341
2.0,med_stint,1.1,4,8,1,0.005962,0.266367,1441
2.0,trim_gara,1.05,3,5,0,0.425934,0.000500,2783
2.0,trim_gara,1.05,3,5,1,0.393565,0.000500,2721
2.0,trim_gara,1.05,3,8,0,0.430119,0.000500,2439
2.0,trim_gara,1.05,3,8,1,0.393249,0.000500,1531
2.0,trim_gara,1.05,4,5,0,0.414315,0.000500,2722
2.0,trim_gara,1.05,4,5,1,0.379992,0.000500,2616
2.0,trim_gara,1.05,4,8,0,0.416680,0.000500,2338
2.0,trim_gara,1.05,4,8,1,0.382715,0.000500,1438
2.0,trim_gara,1.07,3,5,0,0.425208,0.000500,2783
2.0,trim_gara,1.07,3,5,1,0.392514,0.000500,2723
2.0,trim_gara,1.07,3,8,0,0.429403,0.000500,2443
2.0,trim_gara,1.07,3,8,1,0.392510,0.000500,1533
2.0,trim_gara,1.07,4,5,0,0.413873,0.000500,2722
2.0,trim_gara,1.07,4,5,1,0.379456,0.000500,2617
2.0,trim_gara,1.07,4,8,0,0.416189,0.000500,2341
2.0,trim_gara,1.07,4,8,1,0.382420,0.000500,1440
2.0,trim_gara,1.1,3,5,0,0.424202,0.000500,2786
