gara,cid,nominale,correzione,calibrato,n_fit,n_test
Australia,melbourne,18.15,6.902,25.05,2,2
Austria,spielberg,21.63,-0.717,20.91,15,15
Canada,montreal,24.37,0.618,24.99,5,4
Cina,shanghai,22.97,11.297,34.27,2,2
Giappone,suzuka,23.72,-0.245,23.48,5,4
Gran Bretagna,silverstone,29.12,-9.405,19.71,7,7
Miami,miami,22.63,-2.979,19.65,9,8
Monaco,monaco,24.80,-2.777,22.02,6,6
Spagna,catalunya,22.38,-0.780,21.60,15,15
