pop,gara,drv,L,residuo_reinfl,dentro_pitwindow
ctrl,Australia,ANT,22,0.0329,1
ctrl,Australia,ANT,23,2.1758,1
ctrl,Australia,ANT,24,2.1188,1
ctrl,Australia,ANT,25,0.7038,1
ctrl,Australia,ANT,26,0.3929,1
ctrl,Australia,ANT,27,0.0551,1
ctrl,Australia,ANT,28,-0.0002,1
ctrl,Australia,ANT,29,-0.0026,1
ctrl,Australia,ANT,3,-4.2674,0
ctrl,Australia,ANT,35,0.6606,1
ctrl,Australia,ANT,36,0.8778,1
ctrl,Australia,ANT,37,0.9317,0
ctrl,Australia,ANT,38,0.7136,0
ctrl,Australia,ANT,39,0.8234,0
ctrl,Australia,ANT,4,-4.5084,0
ctrl,Australia,ANT,40,1.1962,0
ctrl,Australia,ANT,41,1.3706,0
ctrl,Australia,ANT,42,1.5949,0
ctrl,Australia,ANT,43,1.5820,0
ctrl,Australia,ANT,44,1.4201,0
ctrl,Australia,ANT,45,1.4634,0
ctrl,Australia,ANT,46,1.5177,0
ctrl,Australia,ANT,47,1.7862,0
ctrl,Australia,ANT,48,1.7868,0
ctrl,Australia,ANT,49,1.1314,0
ctrl,Australia,ANT,5,-2.8909,0
ctrl,Australia,ANT,50,0.7510,0
ctrl,Australia,ANT,51,0.8281,0
ctrl,Australia,ANT,52,1.2011,0
ctrl,Australia,ANT,53,1.5755,0
ctrl,Australia,ANT,54,1.3959,0
ctrl,Australia,ANT,55,0.9721,0
ctrl,Australia,ANT,6,-2.9422,0
ctrl,Australia,ANT,7,-2.7655,0
ctrl,Australia,BEA,22,1.2352,1
ctrl,Australia,BEA,23,-0.2421,1
ctrl,Australia,BEA,24,-1.0158,1
ctrl,Australia,BEA,25,-0.1711,1
ctrl,Australia,BEA,26,0.2326,1
ctrl,Australia,BEA,27,1.1656,1
ctrl,Australia,BEA,28,1.3606,1
ctrl,Australia,BEA,29,0.7382,1
ctrl,Australia,BEA,3,-2.8944,0
ctrl,Australia,BEA,35,0.8798,1
ctrl,Australia,BEA,36,1.3509,1
ctrl,Australia,BEA,37,1.6134,0
ctrl,Australia,BEA,38,3.5149,0
ctrl,Australia,BEA,39,3.8018,0
ctrl,Australia,BEA,4,-1.9247,0
ctrl,Australia,BEA,40,1.4041,0
ctrl,Australia,BEA,41,0.9976,0
ctrl,Australia,BEA,42,1.2001,0
ctrl,Australia,BEA,43,0.7012,0
ctrl,Australia,BEA,44,0.5593,0
ctrl,Australia,BEA,45,1.2490,0
ctrl,Australia,BEA,46,1.1626,0
ctrl,Australia,BEA,47,0.7846,0
ctrl,Australia,BEA,48,0.9486,0
ctrl,Australia,BEA,49,0.8029,0
ctrl,Australia,BEA,5,-2.7608,0
ctrl,Australia,BEA,50,0.5022,0
ctrl,Australia,BEA,51,0.9734,0
ctrl,Australia,BEA,52,1.4087,0
