gara,cid,drv,P,split,residuo_nom,residuo_cal,errore,control_base
Miami,miami,COL,31,fit,-2.0553,,-2.8739,0.8186
Miami,miami,OCO,31,test,-2.0091,0.9696,-2.9471,0.9380
Miami,miami,BOR,32,fit,-2.9937,,-3.0818,0.0882
Monaco,monaco,PER,4,fit,-5.5177,,0.5645,-6.0822
Monaco,monaco,STR,4,test,-6.2447,-3.4676,-6.7131,0.4684
Monaco,monaco,OCO,9,fit,-5.4444,,-5.7424,0.2980
Monaco,monaco,PER,9,test,-8.3656,-5.5886,-2.2834,-6.0822
Monaco,monaco,HUL,12,fit,-9.0797,,-9.9218,0.8422
Monaco,monaco,HAM,28,test,-3.0513,-0.2743,-3.5227,0.4714
Monaco,monaco,RUS,31,fit,-4.5768,,-6.3302,1.7534
Monaco,monaco,HAD,32,test,0.5022,3.2792,-1.0895,1.5917
Monaco,monaco,LEC,35,fit,1.8978,,1.6767,0.2211
Monaco,monaco,ANT,37,test,-1.5572,1.2198,-1.6485,0.0913
Monaco,monaco,GAS,45,fit,0.6531,,0.1883,0.4648
Monaco,monaco,PIA,48,test,0.1290,2.9061,-0.6519,0.7809
Spagna,catalunya,HAM,11,fit,0.8755,,-0.3586,1.2342
Spagna,catalunya,LAW,11,test,4.0335,4.8140,2.7921,1.2414
Spagna,catalunya,COL,12,fit,0.4491,,-0.6085,1.0575
Spagna,catalunya,PER,12,test,3.7570,4.5375,2.6538,1.1032
Spagna,catalunya,RUS,12,fit,1.1740,,-0.5615,1.7355
Spagna,catalunya,VER,12,test,0.9759,1.7564,-0.3393,1.3152
Spagna,catalunya,ALB,13,fit,2.1725,,0.7972,1.3753
Spagna,catalunya,HUL,13,test,2.4795,3.2599,1.3034,1.1760
Spagna,catalunya,NOR,13,fit,-0.0865,,-1.3508,1.2643
Spagna,catalunya,OCO,13,test,2.0935,2.8739,0.4643,1.6292
Spagna,catalunya,ANT,14,fit,-0.9827,,-2.6231,1.6404
Spagna,catalunya,GAS,14,test,-0.6851,0.0954,-2.2051,1.5200
Spagna,catalunya,PIA,14,fit,1.0414,,-0.7805,1.8218
Spagna,catalunya,SAI,14,test,1.4639,2.2444,0.1397,1.3242
Spagna,catalunya,BOR,15,fit,0.2354,,-1.5387,1.7741
Spagna,catalunya,HAD,15,test,-0.7102,0.0703,-1.7681,1.0579
Spagna,catalunya,LEC,16,fit,0.8072,,-0.9100,1.7171
Spagna,catalunya,BEA,18,test,1.8461,2.6265,-0.1616,2.0077
Spagna,catalunya,ALO,21,fit,2.7236,,0.7521,1.9715
Spagna,catalunya,LIN,22,test,1.4601,2.2405,-0.1867,1.6468
Spagna,catalunya,HAM,27,fit,0.1463,,-1.0879,1.2342
Spagna,catalunya,VER,29,test,2.4158,3.1963,1.1006,1.3152
Spagna,catalunya,SAI,30,fit,2.5813,,1.2571,1.3242
Spagna,catalunya,HAD,32,test,0.4848,1.2653,-0.5731,1.0579
Spagna,catalunya,COL,34,fit,0.2208,,-0.8367,1.0575
Spagna,catalunya,LAW,35,test,2.1093,2.8897,0.8679,1.2414
Spagna,catalunya,NOR,35,fit,0.9740,,-0.2903,1.2643
Spagna,catalunya,PIA,36,test,2.1460,2.9265,0.3242,1.8218
Spagna,catalunya,RUS,36,fit,0.0550,,-1.6805,1.7355
Spagna,catalunya,ANT,37,test,-0.8096,-0.0292,-2.4500,1.6404
