gara,stagione,condizione,pilota,giro,pit_lane_time,delta_inlap,delta_outlap,pit_loss,compound_in,compound_out,n_ref_in,n_ref_out,d_in_S1,d_in_S2,d_in_S3,d_out_S1,d_out_S2,d_out_S3
2020-70th,2020,DRY,GIO,7,26.9870,0.0000,19.5670,19.5670,MEDIUM,HARD,5.0000,4.0000,0.1000,-0.0680,-0.7090,19.5670,0.0415,-0.1705
2020-70th,2020,DRY,GIO,33,27.6440,0.0000,20.0480,20.0480,HARD,MEDIUM,22.0000,4.0000,-0.0485,0.1475,-0.1655,20.0480,0.2215,-0.1595
2020-70th,2020,DRY,GRO,17,29.0450,0.0000,21.4970,21.4970,MEDIUM,HARD,15.0000,4.0000,0.0880,0.4970,-0.4350,21.4970,-0.3930,-0.3170
2020-70th,2020,DRY,GRO,38,29.7950,0.0000,22.1860,22.1860,HARD,HARD,17.0000,4.0000,0.1560,-0.2620,-0.9420,22.1860,0.6315,1.7400
2020-70th,2020,DRY,HAM,14,28.3780,0.0000,20.0850,20.0850,MEDIUM,HARD,12.0000,4.0000,0.0390,0.0010,-0.6050,20.0850,-0.5095,-0.6120
2020-70th,2020,DRY,HAM,41,29.5870,0.0000,20.9410,20.9410,HARD,HARD,24.0000,4.0000,0.0135,-0.1850,-0.2005,20.9410,-0.0145,-0.1445
2020-70th,2020,DRY,HUL,15,28.9980,0.0000,20.0660,20.0660,MEDIUM,HARD,13.0000,4.0000,-0.0780,-0.5200,-0.5720,20.0660,-0.1915,-0.2110
2020-70th,2020,DRY,HUL,44,28.7270,0.0000,19.8350,19.8350,HARD,SOFT,12.0000,4.0000,0.1300,0.5600,-0.4135,19.8350,0.1815,-0.0005
2020-70th,2020,DRY,KVY,19,25.1480,0.0000,19.9120,19.9120,HARD,HARD,17.0000,4.0000,-0.3360,-0.1530,-0.9900,19.9120,0.3675,0.0965
2020-70th,2020,DRY,KVY,35,28.4090,0.0000,20.0490,20.0490,HARD,MEDIUM,13.0000,4.0000,-0.1400,-0.5200,-0.5910,20.0490,0.3450,0.0510
2020-70th,2020,DRY,LAT,9,28.6700,0.0000,20.1350,20.1350,MEDIUM,HARD,7.0000,4.0000,-0.1040,-0.1630,-1.2810,20.1350,-0.3135,0.0325
2020-70th,2020,DRY,LAT,26,28.0530,0.0000,19.3910,19.3910,HARD,HARD,15.0000,3.0000,0.1030,-0.2790,-0.9190,19.3910,-0.3870,-0.3420
2020-70th,2020,DRY,LAT,46,29.0580,0.0000,20.2425,20.2425,HARD,MEDIUM,17.0000,4.0000,0.2560,1.6480,-1.0360,20.2425,0.0150,-0.5700
2020-70th,2020,DRY,LEC,18,29.4550,0.0000,21.5670,21.5670,MEDIUM,HARD,16.0000,4.0000,-0.1030,-0.3840,-0.7985,21.5670,0.1345,0.5170
2020-70th,2020,DRY,MAG,9,28.7050,0.0000,20.8815,20.8815,MEDIUM,HARD,7.0000,4.0000,-0.0060,-0.2010,-0.8900,20.8815,0.1625,0.0605
2020-70th,2020,DRY,MAG,20,29.4020,0.0000,21.4360,21.4360,HARD,HARD,9.0000,4.0000,0.0550,1.9800,0.7310,21.4360,0.4505,-0.0900
2020-70th,2020,DRY,NOR,12,27.9340,0.0000,19.5940,19.5940,MEDIUM,HARD,10.0000,4.0000,0.1145,-0.3690,-0.8315,19.5940,-0.5020,-0.0920
2020-70th,2020,DRY,NOR,29,28.8200,0.0000,21.3070,21.3070,HARD,HARD,15.0000,3.0000,-0.0260,0.6200,-0.5330,21.3070,0.8550,0.2540
2020-70th,2020,DRY,OCO,22,28.1270,0.0000,19.7210,19.7210,MEDIUM,HARD,20.0000,4.0000,-0.4065,-0.7005,-0.8540,19.7210,-0.1830,-0.0410
2020-70th,2020,DRY,RAI,26,29.2970,0.0000,20.6780,20.6780,HARD,MEDIUM,24.0000,3.0000,0.0295,-0.2245,-0.8005,20.6780,0.1160,-0.1280
2020-70th,2020,DRY,RIC,14,28.5790,0.0000,19.9120,19.9120,MEDIUM,MEDIUM,12.0000,4.0000,-0.0920,-0.6710,-0.5110,19.9120,0.0025,0.1470
2020-70th,2020,DRY,RIC,26,28.2430,0.0000,19.6370,19.6370,MEDIUM,HARD,10.0000,3.0000,0.3170,0.1555,-0.5415,19.6370,-0.1600,0.0010
2020-70th,2020,DRY,RIC,35,28.0420,0.0000,19.7160,19.7160,HARD,MEDIUM,6.0000,4.0000,0.3085,0.1410,-0.2165,19.7160,0.5340,-0.1250
2020-70th,2020,DRY,RUS,8,28.3790,0.0000,19.8070,19.8070,MEDIUM,HARD,6.0000,4.0000,-0.0955,-0.3625,-1.2920,19.8070,-0.6680,-0.4730
2020-70th,2020,DRY,RUS,24,28.3220,0.0000,19.9120,19.9120,HARD,HARD,14.0000,4.0000,-0.0975,0.3395,-1.1640,19.9120,-0.7880,-0.3355
2020-70th,2020,DRY,RUS,39,27.2580,0.0000,20.5405,20.5405,HARD,MEDIUM,12.0000,4.0000,0.3000,0.9130,-0.6380,20.5405,0.5830,-0.0500
2020-70th,2020,DRY,SAI,22,35.8320,0.0000,26.7015,26.7015,HARD,MEDIUM,20.0000,4.0000,-0.2850,-0.0795,-0.4170,26.7015,0.1065,0.1305
2020-70th,2020,DRY,SAI,34,28.7500,0.0000,20.1420,20.1420,MEDIUM,HARD,9.0000,4.0000,-0.1110,0.0420,-0.6430,20.1420,-0.6125,-0.1465
2020-70th,2020,DRY,STR,18,28.1390,0.0000,19.5445,19.5445,MEDIUM,HARD,16.0000,4.0000,-0.3075,-0.2020,-0.7905,19.5445,-0.4975,-0.1755
2020-70th,2020,DRY,VET,22,28.1400,0.0000,19.8835,19.8835,HARD,HARD,20.0000,4.0000,-0.3655,-0.8815,-0.7615,19.8835,0.0775,0.2995
2020-70th,2020,DRY,VET,33,28.4080,0.0000,20.0025,20.0025,HARD,MEDIUM,8.0000,4.0000,-0.1125,-0.0470,-0.5105,20.0025,-0.4965,-0.4510
2022-BGP,2022,DRY,ALO,33,28.6910,0.0000,21.1925,21.1925,MEDIUM,HARD,29.0000,4.0000,-0.0180,-0.1890,-0.2130,21.1925,0.9490,0.2130
2022-BGP,2022,DRY,GAS,16,29.6430,0.0000,22.3810,22.3810,SOFT,HARD,12.0000,4.0000,0.0955,0.2085,-0.5015,22.3810,0.7975,0.2005
2022-BGP,2022,DRY,HAM,33,29.8100,0.0000,22.9420,22.9420,MEDIUM,HARD,29.0000,4.0000,-0.2160,-0.0090,-0.5040,22.9420,1.1440,0.4695
2022-BGP,2022,DRY,LAT,19,28.7870,0.0000,21.1060,21.1060,SOFT,MEDIUM,15.0000,4.0000,-0.0540,-0.3500,-0.6490,21.1060,0.8515,0.0555
2022-BGP,2022,DRY,LEC,25,28.8340,0.0000,21.3740,21.3740,MEDIUM,HARD,21.0000,4.0000,-0.0790,-0.0460,-0.7760,21.3740,0.2290,0.2985
2022-BGP,2022,DRY,MAG,22,29.4490,0.0000,21.0920,21.0920,MEDIUM,MEDIUM,18.0000,4.0000,-0.0190,-0.7085,-0.5205,21.0920,-0.0240,-0.0310
2022-BGP,2022,DRY,MSC,19,29.1520,0.0000,21.5565,21.5565,MEDIUM,HARD,15.0000,4.0000,-0.0340,-0.0990,-1.0350,21.5565,1.0390,0.1550
2022-BGP,2022,DRY,OCO,22,30.2890,0.0000,23.1220,23.1220,SOFT,HARD,18.0000,4.0000,-0.0615,-0.2545,-0.2370,23.1220,0.5285,-0.1050
2022-BGP,2022,DRY,RIC,20,30.2690,0.0000,22.7510,22.7510,MEDIUM,HARD,16.0000,4.0000,0.0625,-0.4260,-0.0520,22.7510,0.9135,0.2350
2022-BGP,2022,DRY,RIC,32,30.6290,0.0000,22.8955,22.8955,HARD,SOFT,10.0000,4.0000,-0.0945,4.7645,0.8350,22.8955,0.3375,0.0530
2022-BGP,2022,DRY,SAI,20,28.5440,0.0000,20.7195,20.7195,MEDIUM,HARD,15.0000,4.0000,-0.0010,-0.1440,-0.5430,20.7195,0.3395,0.1360
2022-BGP,2022,DRY,STR,15,28.6380,0.0000,22.1610,22.1610,MEDIUM,HARD,11.0000,4.0000,-0.1890,-0.1000,-0.5680,22.1610,0.8360,0.2075
2022-BGP,2022,DRY,TSU,18,34.7690,0.0000,27.4040,27.4040,SOFT,HARD,14.0000,4.0000,0.0110,0.0075,-0.8920,27.4040,0.9170,0.4530
2022-BGP,2022,DRY,VER,12,29.4000,0.0000,21.2195,21.2195,MEDIUM,MEDIUM,7.0000,4.0000,0.1960,1.3460,-0.4080,21.2195,0.0530,0.0710
2022-BGP,2022,DRY,VER,23,29.3050,0.0000,22.1830,22.1830,MEDIUM,HARD,9.0000,4.0000,-0.0120,-0.0370,-0.7610,22.1830,1.8845,0.3770
2023-BGP,2023,DRY,HUL,7,41.9840,0.0000,33.5355,33.5355,HARD,MEDIUM,5.0000,4.0000,-0.1210,0.1050,-0.3680,33.5355,0.6415,-0.0220
2023-BGP,2023,DRY,LEC,18,28.2020,0.0000,20.2715,20.2715,MEDIUM,HARD,16.0000,4.0000,0.2355,-0.1715,-0.8765,20.2715,-0.1495,-0.0670
2023-BGP,2023,DRY,PER,28,28.0620,0.0000,19.5885,19.5885,MEDIUM,SOFT,26.0000,2.0000,-0.0785,-0.3980,-0.7455,19.5885,-0.2960,-0.2035
2023-BGP,2023,DRY,RUS,28,29.4990,0.0000,21.5115,21.5115,SOFT,MEDIUM,26.0000,2.0000,0.1860,-0.2585,-0.6220,21.5115,-0.0110,0.1065
2023-BGP,2023,DRY,SAI,26,28.8590,0.0000,20.5475,20.5475,MEDIUM,HARD,24.0000,4.0000,0.1170,0.0955,-0.2830,20.5475,0.1030,-0.1035
2023-BGP,2023,DRY,TSU,14,28.3120,0.0000,20.8410,20.8410,SOFT,HARD,12.0000,4.0000,0.6535,0.5785,-0.9895,20.8410,0.6315,0.0580
2023-BGP,2023,DRY,ZHO,24,29.1710,0.0000,22.1330,22.1330,MEDIUM,HARD,22.0000,4.0000,0.0790,-0.5500,-0.6385,22.1330,0.3790,-0.1290
2024-BGP,2024,WET,ALB,27,34.7530,2.7120,26.1175,28.8295,MEDIUM,INTERMEDIATE,25.0000,4.0000,2.5760,9.4640,2.7120,26.1175,-0.1895,-0.7190
2024-BGP,2024,WET,ALB,38,29.5150,-3.2930,24.2390,20.9460,INTERMEDIATE,MEDIUM,9.0000,4.0000,-0.8690,-1.8030,-3.2930,24.2390,1.7405,1.1265
2024-BGP,2024,WET,ALO,27,29.3780,3.0220,20.4280,23.4500,MEDIUM,INTERMEDIATE,25.0000,4.0000,2.8430,9.8970,3.0220,20.4280,0.1335,0.9365
2024-BGP,2024,WET,ALO,38,29.7190,-2.4010,24.3485,21.9475,INTERMEDIATE,MEDIUM,9.0000,4.0000,-0.7430,-1.3010,-2.4010,24.3485,3.0570,1.2855
2024-BGP,2024,WET,BOT,26,30.5970,3.5295,21.6030,25.1325,MEDIUM,INTERMEDIATE,24.0000,4.0000,2.1105,9.9050,3.5295,21.6030,0.4470,-0.0700
2024-BGP,2024,WET,BOT,37,31.5120,-2.6120,26.3170,23.7050,INTERMEDIATE,SOFT,9.0000,4.0000,-0.7570,-1.1080,-2.6120,26.3170,4.7905,2.2910
2024-BGP,2024,WET,HAM,27,28.9890,3.0940,20.8015,23.8955,MEDIUM,INTERMEDIATE,25.0000,4.0000,1.9810,8.4340,3.0940,20.8015,-0.3795,-0.6430
2024-BGP,2024,WET,HAM,38,30.0370,-2.2780,24.9090,22.6310,INTERMEDIATE,SOFT,9.0000,4.0000,-0.8990,-1.2690,-2.2780,24.9090,2.1270,0.4105
2024-BGP,2024,WET,HUL,26,29.4590,1.5365,20.2910,21.8275,MEDIUM,INTERMEDIATE,24.0000,4.0000,0.8860,6.7605,1.5365,20.2910,0.0500,-0.4540
2024-BGP,2024,WET,HUL,39,30.4640,-2.8970,23.6200,20.7230,INTERMEDIATE,SOFT,11.0000,4.0000,-0.7490,-1.8460,-2.8970,23.6200,0.9190,0.6360
2024-BGP,2024,WET,LEC,19,28.5450,2.4950,18.3385,20.8335,MEDIUM,INTERMEDIATE,17.0000,4.0000,5.2820,5.5550,2.4950,18.3385,-2.2240,-1.3180
2024-BGP,2024,WET,LEC,27,29.2060,-2.2210,20.5895,18.3685,INTERMEDIATE,INTERMEDIATE,6.0000,4.0000,0.1750,2.0880,-2.2210,20.5895,0.0315,-0.4840
2024-BGP,2024,WET,LEC,37,29.0790,-2.5775,24.2290,21.6515,INTERMEDIATE,SOFT,8.0000,4.0000,-0.8185,-1.2915,-2.5775,24.2290,2.0350,1.0660
2024-BGP,2024,WET,MAG,27,30.1650,3.7930,21.5300,25.3230,MEDIUM,INTERMEDIATE,25.0000,4.0000,2.6410,11.7080,3.7930,21.5300,0.2610,-0.1000
2024-BGP,2024,WET,MAG,37,29.8840,-2.4465,26.9580,24.5115,INTERMEDIATE,SOFT,8.0000,4.0000,-0.4610,0.5745,-2.4465,26.9580,3.6745,1.9580
2024-BGP,2024,WET,NOR,27,28.7430,2.4990,20.1355,22.6345,MEDIUM,INTERMEDIATE,25.0000,4.0000,2.5800,7.8970,2.4990,20.1355,0.1120,-0.3610
2024-BGP,2024,WET,NOR,39,30.3610,-2.6930,23.7160,21.0230,INTERMEDIATE,SOFT,10.0000,4.0000,-0.8800,-1.0930,-2.6930,23.7160,0.9505,0.5100
2024-BGP,2024,WET,OCO,38,29.0540,-2.0960,23.8695,21.7735,INTERMEDIATE,MEDIUM,10.0000,4.0000,-0.5325,-1.3600,-2.0960,23.8695,2.4050,2.6240
2024-BGP,2024,WET,PER,19,28.3030,1.7890,17.7660,19.5550,HARD,INTERMEDIATE,17.0000,4.0000,4.4180,2.9870,1.7890,17.7660,-2.5390,-1.6520
2024-BGP,2024,WET,PER,28,32.3660,-1.3390,23.9115,22.5725,INTERMEDIATE,INTERMEDIATE,7.0000,4.0000,0.0770,-0.0240,-1.3390,23.9115,-1.4240,-1.3570
2024-BGP,2024,WET,PER,37,29.1960,-1.8740,24.4820,22.6080,INTERMEDIATE,MEDIUM,7.0000,4.0000,-0.6050,-1.1250,-1.8740,24.4820,2.5010,1.7130
2024-BGP,2024,WET,PIA,28,29.5950,3.6205,20.5060,24.1265,MEDIUM,INTERMEDIATE,26.0000,4.0000,6.8105,10.5620,3.6205,20.5060,-0.6825,-1.1620
2024-BGP,2024,WET,PIA,38,29.3410,-2.9730,23.1715,20.1985,INTERMEDIATE,MEDIUM,8.0000,4.0000,-0.8385,-1.6385,-2.9730,23.1715,1.2285,0.6440
2024-BGP,2024,WET,RIC,26,28.8110,2.5770,19.2575,21.8345,MEDIUM,INTERMEDIATE,24.0000,4.0000,1.7935,6.9570,2.5770,19.2575,0.4480,-0.4360
2024-BGP,2024,WET,RIC,37,29.9660,-2.5310,26.5245,23.9935,INTERMEDIATE,SOFT,9.0000,4.0000,-0.4420,-0.4870,-2.5310,26.5245,3.3010,1.6255
2024-BGP,2024,WET,RUS,27,32.1390,5.2620,23.2265,28.4885,MEDIUM,INTERMEDIATE,25.0000,4.0000,1.8610,8.8900,5.2620,23.2265,-0.6840,0.2300
2024-BGP,2024,WET,SAI,26,29.2660,1.8715,19.6640,21.5355,MEDIUM,INTERMEDIATE,24.0000,4.0000,1.1925,7.0435,1.8715,19.6640,-0.1625,-0.4765
2024-BGP,2024,WET,SAI,39,28.9270,-3.0400,24.1280,21.0880,INTERMEDIATE,HARD,11.0000,4.0000,-1.2370,-1.6620,-3.0400,24.1280,1.6375,1.0580
2024-BGP,2024,WET,SAR,27,32.8570,5.1840,23.8760,29.0600,MEDIUM,INTERMEDIATE,25.0000,4.0000,3.2390,10.6650,5.1840,23.8760,-0.6970,-0.6840
2024-BGP,2024,WET,SAR,38,29.4350,-2.4020,23.9475,21.5455,INTERMEDIATE,SOFT,9.0000,4.0000,-0.9170,-1.8130,-2.4020,23.9475,1.3480,0.5035
2024-BGP,2024,WET,STR,26,29.0550,1.4755,19.5760,21.0515,MEDIUM,INTERMEDIATE,24.0000,4.0000,0.8940,5.5135,1.4755,19.5760,-0.3115,-0.7255
2024-BGP,2024,WET,STR,39,29.4340,-2.8220,23.1270,20.3050,INTERMEDIATE,MEDIUM,11.0000,4.0000,-0.9590,-1.6360,-2.8220,23.1270,1.6035,1.1545
2024-BGP,2024,WET,TSU,27,29.9400,3.1480,20.8690,24.0170,MEDIUM,INTERMEDIATE,25.0000,4.0000,2.3760,9.5080,3.1480,20.8690,-0.3445,-0.5815
2024-BGP,2024,WET,TSU,38,29.6810,-2.9460,23.6395,20.6935,INTERMEDIATE,SOFT,9.0000,4.0000,-0.6780,-1.3540,-2.9460,23.6395,2.8085,1.5845
2024-BGP,2024,WET,VER,26,28.4660,1.5975,19.0670,20.6645,MEDIUM,INTERMEDIATE,24.0000,4.0000,1.0960,6.7695,1.5975,19.0670,-0.5740,-0.9800
2024-BGP,2024,WET,VER,38,29.1560,-2.6960,24.8575,22.1615,INTERMEDIATE,HARD,10.0000,4.0000,-1.3205,-1.9650,-2.6960,24.8575,2.1000,1.7770
2024-BGP,2024,WET,ZHO,12,29.1430,-0.1475,21.7225,21.5750,SOFT,MEDIUM,10.0000,4.0000,0.1680,-0.0165,-0.1475,21.7225,0.5490,-1.1860
2024-BGP,2024,WET,ZHO,19,29.8960,-0.4350,21.3635,20.9285,MEDIUM,INTERMEDIATE,5.0000,4.0000,7.3630,4.4560,-0.4350,21.3635,-2.3750,-1.8705
2024-BGP,2024,WET,ZHO,26,29.0730,-2.6210,21.6875,19.0665,INTERMEDIATE,INTERMEDIATE,5.0000,4.0000,-0.6580,-0.4320,-2.6210,21.6875,0.5590,-0.3385
2024-BGP,2024,WET,ZHO,37,32.9830,-2.2090,30.0455,27.8365,INTERMEDIATE,SOFT,9.0000,4.0000,-0.1640,0.0400,-2.2090,30.0455,3.4400,1.4500
