gara,drv,fonte,sessione,compound,lap_start,lap_end,n_giri_puliti,life_start,life_end,pace_mediano,pace_min,degrado_slope
Spagna,SAI,FP,Practice 3,SOFT,9,13,5,9,13,82.216,82.192,-0.1209
Spagna,HER,FP,Practice 1,SOFT,2,10,4,2,10,82.341,81.363,-0.3318
Spagna,PIA,FP,Practice 2,MEDIUM,13,19,7,10,16,82.368,81.581,0.1806
Spagna,PER,FP,Practice 3,MEDIUM,14,17,4,14,17,82.51,82.383,0.0188
Spagna,IWA,FP,Practice 1,MEDIUM,7,13,5,7,13,82.523,79.509,0.5321
Spagna,HAM,FP,Practice 2,MEDIUM,20,27,6,13,20,82.654,81.262,0.2192
Spagna,BOT,FP,Practice 3,SOFT,8,13,5,8,13,82.746,80.324,0.5632
Spagna,BOR,FP,Practice 1,SOFT,21,27,6,8,14,82.821,81.4,0.1547
Spagna,HAD,FP,Practice 2,SOFT,25,29,4,8,12,82.971,82.846,-0.1059
Spagna,HUL,FP,Practice 2,MEDIUM,17,25,8,11,19,83.033,81.71,0.2114
Spagna,VES,FP,Practice 1,SOFT,17,24,8,11,18,83.078,82.083,0.4246
Spagna,HAD,FP,Practice 2,MEDIUM,16,22,7,10,16,83.37,82.059,0.3704
Spagna,SAI,FP,Practice 2,MEDIUM,11,14,4,8,11,83.518,83.152,0.5963
Spagna,LIN,FP,Practice 1,SOFT,19,24,6,8,13,83.548,82.724,0.3407
Spagna,BEA,FP,Practice 2,SOFT,15,24,10,5,14,83.624,83.385,0.0632
Spagna,BOR,FP,Practice 2,MEDIUM,16,23,8,11,18,83.859,82.143,0.4334
Spagna,LIN,FP,Practice 2,MEDIUM,12,28,13,9,25,83.889,82.125,0.3624
Spagna,GAS,FP,Practice 2,MEDIUM,16,28,10,11,23,84.203,82.046,0.4119
Spagna,HER,FP,Practice 1,SOFT,19,26,7,8,15,84.309,83.305,0.4229
Spagna,COL,FP,Practice 2,MEDIUM,17,29,12,11,23,84.434,82.297,0.3189
Spagna,ALB,FP,Practice 2,SOFT,20,28,8,7,15,84.832,83.469,0.1867
Spagna,PER,FP,Practice 2,MEDIUM,18,27,10,12,21,84.858,83.343,0.3305
Spagna,OCO,FP,Practice 2,MEDIUM,14,28,12,9,23,84.894,83.058,0.0449
Spagna,SAI,FP,Practice 1,SOFT,18,26,8,6,14,85.045,83.732,0.2613
Spagna,SAI,FP,Practice 2,MEDIUM,17,24,8,14,21,85.608,84.358,0.3361
