circuito,stagione,round,durata_s
Canada,2025,10,23.693
Canada,2025,10,23.772
Canada,2025,10,18.240
Canada,2025,10,18.199
Canada,2025,10,18.299
Canada,2025,10,19.449
Canada,2025,10,19.204
Canada,2025,10,18.991
Canada,2025,10,18.240
Canada,2025,10,18.195
Canada,2025,10,18.250
Canada,2025,10,18.265
Canada,2025,10,18.255
Canada,2025,10,18.260
Canada,2025,10,18.193
Canada,2025,10,18.249
Canada,2025,10,18.217
Canada,2025,10,18.284
Canada,2025,10,18.237
Canada,2025,10,18.246
Canada,2025,10,18.226
Canada,2025,10,18.306
Canada,2025,10,18.288
Canada,2025,10,18.309
Canada,2025,10,18.284
