baseA,baseB,gap0,gap_sim,gap_reale,err,drift,gara,L,A,B
81.5975,81.42882758620689,6.443000000000211,5.599637931034692,6.2520000000004075,0.37296551724011806,0.1909999999998035,Australia,37,RUS,ANT
81.42882758620689,81.53822413793102,10.003999999999904,10.550982758620563,9.63000000000011,0.9323620689638119,0.3739999999997963,Australia,37,ANT,LEC
81.53822413793102,81.974,6.118000000000393,8.29687931034529,5.097999999999956,3.1988793103455464,1.0200000000004366,Australia,37,LEC,HAM
81.974,81.88727586206896,10.753999999999904,10.320379310344691,36.77499999999963,26.454620689654803,26.02099999999973,Australia,37,HAM,VER
81.88727586206896,82.95924137931036,16.35199999999986,21.711827586206837,7.082000000000335,14.629827586207284,9.269999999999529,Australia,37,VER,LIN
82.95924137931036,83.05746551724138,1.1570000000001528,1.6481206896552862,-2.26299999999992,3.9111206896532167,3.4200000000000728,Australia,37,LIN,BEA
83.33096551724138,83.3059827586207,0.3130000000001018,0.188086206896699,-0.7289999999993597,0.9170862068931456,1.0419999999994616,Australia,37,OCO,GAS
83.3059827586207,82.59406896551724,1.5659999999998035,-1.993568965517511,-3.2049999999999272,1.2114310344841215,4.770999999999731,Australia,37,GAS,BOR
82.59406896551724,83.20462068965517,30.45600000000013,33.508758620689804,35.13999999999942,1.6312413793111773,4.683999999999287,Australia,37,BOR,ALB
83.20462068965517,84.60206896551723,14.024000000000342,21.011241379310647,7.014000000000124,13.997241379311163,7.010000000000218,Australia,37,ALB,LAW
84.60206896551723,83.9708275862069,1.0419999999994616,-2.1142068965522327,12.835000000000036,14.711275862066941,11.793000000000577,Australia,37,LAW,COL
83.9708275862069,83.63962068965517,0.3010000000003856,-1.3550344827582137,0.6869999999998981,2.27996551724209,0.3859999999995125,Australia,37,COL,SAI
83.63962068965517,86.31994827586206,44.10199999999986,57.50363793103429,51.733000000000175,5.770637931032979,7.631000000000313,Australia,37,SAI,PER
95.972,94.823,0.850999999999658,-4.8940000000003465,1.5340000000005602,6.427999999998065,0.6830000000009022,Cina,16,ANT,HAM
94.823,95.10957142857144,2.0979999999999563,3.53085714285713,1.168999999999869,2.3618571428542054,0.9290000000000872,Cina,16,HAM,LEC
95.10957142857144,96.66,1.720999999999549,9.473142857142392,0.5270000000000437,8.946142857143059,1.1939999999995052,Cina,16,LEC,RUS
96.66,96.34778571428572,0.6960000000008222,-0.865071428570559,13.189000000000306,14.122999999999593,12.492999999999483,Cina,16,RUS,COL
96.34778571428572,96.427,0.4809999999997671,0.8770714285711279,1.058999999999287,0.21085714285527501,0.5779999999995198,Cina,16,COL,OCO
96.427,96.93642857142856,1.1629999999995562,3.710142857142415,-1.8959999999997308,,3.058999999999287,Cina,16,OCO,BEA
96.93642857142856,96.8295,0.5799999999999272,0.0453571428570853,5.252999999999702,,4.6729999999997744,Cina,16,BEA,LIN
96.8295,96.633,0.5090000000000146,-0.4734999999999871,-2.988999999999578,2.537999999999556,3.4979999999995925,Cina,16,LIN,GAS
96.633,96.82971428571427,0.623000000000502,1.606571428571968,0.4639999999999418,0.5511428571453507,0.1590000000005602,Cina,16,GAS,HUL
96.82971428571427,96.818,0.1570000000001528,0.0984285714286983,-1.600999999999658,2.2908571428570212,1.7579999999998108,Cina,16,HUL,VER
96.818,97.24057142857144,1.2219999999997526,3.3348571428569045,3.5559999999995853,0.2211428571436045,2.3339999999998327,Cina,16,VER,LAW
97.24057142857144,97.23157142857144,0.524000000000342,0.4790000000003402,1.5850000000000364,1.1059999999997672,1.0609999999996944,Cina,16,LAW,SAI
97.23157142857144,97.02742857142856,0.7989999999999782,-0.2217142857142988,0.3869999999997162,0.6087142857140861,0.4120000000002619,Cina,16,SAI,HAD
97.02742857142856,97.756,1.902999999999338,5.545857142856477,7.483000000000175,1.9371428571421347,5.580000000000837,Cina,16,HAD,BOT
97.756,97.754,0.9270000000005894,0.9170000000006128,1.4840000000003783,0.5670000000018263,0.556999999999789,Cina,16,BOT,PER
97.754,98.9567142857143,1.3889999999992142,7.402571428570681,2.344000000000051,4.9399999999996,0.9550000000008368,Cina,16,PER,ALO
94.875,94.98028571428571,1.5340000000005602,2.060428571429128,5.411000000000058,3.1141428571454526,3.876999999999498,Cina,21,ANT,HAM
