gara,drv,k,freeze_L,pit_P,compound_out,pitloss,residuo,gap_rejoin_sim,dpace_prepit,cambio_davanti
Spagna,ALB,3,12,13,HARD,22.38,9.3542,6.6680,0.6893,1
Spagna,ALB,3,28,29,HARD,22.38,8.4372,9.8703,1.2629,1
Spagna,ALB,5,12,13,HARD,22.38,12.7243,5.3630,0.6893,1
Spagna,ALO,1,20,21,HARD,22.38,6.8600,28.0405,3.3485,0
Spagna,ALO,3,20,21,HARD,22.38,8.2960,32.1099,3.3485,0
Spagna,ALO,5,20,21,HARD,22.38,10.1830,36.1794,3.3485,0
Spagna,ANT,1,13,14,HARD,22.38,3.7900,10.1801,-2.1712,1
Spagna,ANT,1,36,37,HARD,22.38,1.8722,6.5085,-0.3127,1
Spagna,ANT,3,13,14,HARD,22.38,5.9640,8.8252,-2.1712,0
Spagna,ANT,5,13,14,HARD,22.38,7.7830,7.4703,-2.1712,0
Spagna,BEA,1,17,18,HARD,22.38,6.2552,0.1559,1.3296,1
Spagna,BEA,3,17,18,HARD,22.38,5.9473,0.1559,1.3296,1
Spagna,BEA,5,17,18,HARD,22.38,4.5274,0.1559,1.3296,0
Spagna,BOR,1,14,15,HARD,22.38,4.9172,6.9515,0.6267,1
Spagna,BOR,1,32,33,HARD,22.38,6.2561,11.2690,0.0000,1
Spagna,BOR,1,52,53,SOFT,22.38,5.6239,7.5831,0.8580,1
Spagna,BOR,3,14,15,HARD,22.38,4.9804,6.3569,0.6267,1
Spagna,BOR,3,32,33,HARD,22.38,8.6642,9.7360,0.0000,1
Spagna,BOR,3,52,53,SOFT,22.38,4.3306,7.7734,0.8580,0
Spagna,BOR,5,14,15,HARD,22.38,5.2695,5.7624,0.6267,1
Spagna,BOR,5,32,33,HARD,22.38,11.3913,8.2030,0.0000,0
Spagna,BOR,5,52,53,SOFT,22.38,2.5313,7.9637,0.8580,0
