cid,pit_loss_s,n
austin,24.25,80
bahrain,24.89,134
baku,20.72,66
catalunya,22.38,186
hungaroring,21.8,105
imola,30.24,64
interlagos,23.73,105
jeddah,21.41,61
las-vegas,21.58,93
lusail,28.82,155
marina-bay,29.55,70
melbourne,18.15,164
mexico-city,22.69,67
miami,22.63,87
monaco,24.8,111
montreal,24.37,136
monza,24.66,74
shanghai,22.97,83
silverstone,20.80,102
spa-francorchamps,23.36,97
spielberg,21.63,180
suzuka,23.72,151
yas-marina,22.01,92
zandvoort,20.41,150
