gara,drv,L,residuo_reinfl,pitloss,gap_rejoin,warmin_out,dpace,rival_inlap
Miami,COL,30,-2.0553,22.63,1.2692,-0.1620,0.0000,0.0000
Miami,HAM,26,-2.6308,22.63,0.8136,-0.1620,-1.0215,0.0000
Miami,LEC,20,-1.9077,22.63,2.5681,-0.1620,-1.4699,0.0000
Miami,LIN,27,-3.7444,22.63,11.1154,-0.1620,0.9204,0.0000
Miami,NOR,26,-2.0750,22.63,2.2322,-0.1620,-2.1034,0.0000
Miami,OCO,30,-2.0091,22.63,12.8730,-0.1620,0.7929,0.0000
Miami,PER,28,-2.4005,22.63,20.9944,-0.1620,1.2885,6.9434
Miami,PIA,27,-2.4375,22.63,1.0383,-0.1620,-1.4655,7.5583
Miami,RUS,19,-4.3468,22.63,6.1937,-0.1620,-1.4935,0.0000
Miami,SAI,27,-2.9413,22.63,0.0959,-0.1620,-0.2591,0.0000
Miami,STR,20,-3.3676,22.63,26.1513,0.0910,1.5065,8.5554
Monaco,ANT,36,-1.5572,24.80,0.0000,-0.1620,-2.0237,0.0000
Monaco,GAS,44,0.6531,24.80,17.9238,-0.1620,-0.3590,0.0000
Monaco,HAD,31,0.5022,24.80,2.6223,-0.1620,-0.4168,0.0000
Monaco,HAM,27,-3.0513,24.80,21.5708,-0.1620,-1.8715,0.0000
Monaco,HUL,11,-9.0797,24.80,22.6206,-0.1620,0.5298,0.0000
Monaco,LEC,34,1.8978,24.80,11.4715,-0.1620,-1.7586,18.9080
Monaco,OCO,8,-5.4444,24.80,2.5317,-0.1620,0.3767,0.0000
Monaco,PER,3,-5.5177,24.80,17.6210,0.3330,0.7890,0.0000
Monaco,PER,8,-8.3656,24.80,3.3078,0.3330,-0.8051,20.1149
Monaco,PIA,47,0.1290,24.80,16.0255,-0.1620,-0.5600,0.0000
Monaco,RUS,30,-4.5768,24.80,2.9178,-0.1620,-0.5192,20.0820
Monaco,STR,3,-6.2447,24.80,30.0040,0.0910,1.3670,0.0000
Spagna,ALB,12,2.1725,22.38,7.9730,-0.1620,0.6893,6.2253
Spagna,ALO,20,2.7236,22.38,28.0405,-0.1620,3.3485,0.0000
Spagna,ANT,13,-0.9827,22.38,10.1801,-0.1620,-2.1712,0.0000
Spagna,ANT,36,-0.8096,22.38,6.5085,-0.1620,-0.3127,0.0000
Spagna,BEA,17,1.8461,22.38,0.1559,-0.1620,1.3296,0.0000
Spagna,BOR,14,0.2354,22.38,6.9515,-0.1620,0.6267,0.0000
Spagna,COL,11,0.4491,22.38,0.2939,-0.1620,0.0930,0.0000
Spagna,COL,33,0.2208,22.38,0.1433,-0.1620,0.0000,0.0000
Spagna,GAS,13,-0.6851,22.38,7.1855,-0.1620,0.0000,0.0000
Spagna,HAD,14,-0.7102,22.38,2.0515,-0.1620,-1.0555,6.9975
Spagna,HAD,31,0.4848,22.38,45.9075,-0.1620,-1.0335,0.0000
Spagna,HAM,10,0.8755,22.38,10.0540,-0.1620,-2.3637,7.6240
Spagna,HAM,26,0.1463,22.38,1.1446,0.3330,-1.5182,0.0000
Spagna,HUL,12,2.4795,22.38,3.4970,-0.1620,-0.4162,7.8537
Spagna,LAW,10,4.0335,22.38,2.3580,-0.1620,-0.2842,0.0000
Spagna,LAW,34,2.1093,22.38,3.3680,-0.1620,0.2416,0.0000
Spagna,LEC,15,0.8072,22.38,19.4272,-0.1620,-2.1012,0.0000
Spagna,LIN,21,1.4601,22.38,2.2995,-0.1620,1.5890,0.0000
Spagna,NOR,12,-0.0865,22.38,12.3906,-0.1620,-2.2092,6.4201
Spagna,NOR,34,0.9740,22.38,2.1915,-0.1620,-2.1288,4.9426
Spagna,OCO,12,2.0935,22.38,3.4970,-0.1620,0.2308,6.9305
Spagna,PER,11,3.7570,22.38,13.0420,-0.1620,0.5765,6.9923
Spagna,PIA,13,1.0414,22.38,0.7320,-0.1620,-1.4937,6.9904
Spagna,PIA,35,2.1460,22.38,18.4221,-0.1620,-1.7156,0.0000
Spagna,RUS,11,1.1740,22.38,5.4200,-0.1620,-2.8265,0.0000
Spagna,RUS,35,0.0550,22.38,6.0477,-0.1620,-1.6276,0.0000
Spagna,SAI,13,1.4639,22.38,1.1814,-0.1620,0.0360,6.7068
Spagna,SAI,29,2.5813,22.38,10.8905,-0.1620,0.4587,13.3593
Spagna,VER,11,0.9759,22.38,0.4669,0.3330,-2.1459,7.6645
Spagna,VER,28,2.4158,22.38,13.9280,-0.1620,-1.2475,0.0000
