gara,team,drv,fonte,compound,lap_start,lap_end,n,life_start,life_end,life_span,pace,disp,delta_t,n_out,vicino_ritiro,stability,information
Australia,McLaren,NOR,Race,MEDIUM,1,10,9,2,10,8,85.573,0.771,2.366,2,False,0.664,0.573
Australia,Mercedes,ANT,Race,HARD,35,58,24,23,46,23,82.928,0.219,0.875,1,False,0.9,0.831
Australia,Mercedes,ANT,Race,HARD,21,33,13,9,21,12,83.017,0.453,1.963,2,False,0.8,0.694
Australia,Mercedes,RUS,Race,HARD,35,58,24,23,46,23,83.025,0.247,1.081,1,False,0.9,0.862
Australia,Mercedes,RUS,Race,HARD,21,33,13,9,21,12,83.188,0.322,1.168,0,False,1.0,0.575
Australia,Mercedes,ANT,Race,MEDIUM,1,10,8,3,10,7,84.031,0.661,1.78,2,False,0.773,0.508
Australia,Mercedes,RUS,Race,MEDIUM,1,11,10,2,11,9,84.714,0.811,2.477,0,False,0.825,0.605
Australia,Racing Bulls,LAW,Race,SOFT,35,57,23,2,24,22,84.232,0.9,3.112,6,False,0.457,1.0
Australia,Racing Bulls,LIN,Race,HARD,20,32,13,2,14,12,84.475,0.357,1.242,1,False,0.9,0.586
Australia,Racing Bulls,LIN,Race,HARD,35,57,21,17,39,22,84.747,0.45,1.774,6,False,0.72,0.948
Australia,Racing Bulls,LAW,Race,HARD,20,32,13,9,21,12,85.253,0.444,1.616,1,False,0.9,0.642
Australia,Racing Bulls,LIN,Race,MEDIUM,1,10,9,2,10,8,85.497,0.618,2.024,2,False,0.8,0.573
Australia,Racing Bulls,LAW,Race,MEDIUM,1,10,9,2,10,8,86.661,0.885,2.786,0,False,0.751,0.573
Australia,Red Bull Racing,VER,Race,HARD,43,58,16,2,17,15,82.858,0.372,1.442,1,False,0.9,0.712
Australia,Red Bull Racing,VER,Race,MEDIUM,20,33,14,2,15,13,83.513,0.141,0.567,2,False,0.8,0.517
Australia,Red Bull Racing,VER,Race,MEDIUM,35,40,6,17,22,5,83.94,0.372,0.92,0,False,1.0,0.315
Australia,Red Bull Racing,VER,Race,HARD,1,10,9,2,10,8,85.133,0.878,2.389,3,False,0.478,0.573
Australia,Red Bull Racing,HAD,Race,MEDIUM,1,10,9,2,10,8,85.363,0.248,0.748,2,True,0.32,0.385
Australia,Williams,SAI,Race,SOFT,47,56,8,3,11,8,83.896,0.5,1.387,2,False,0.8,0.463
Australia,Williams,ALB,Race,SOFT,35,57,23,2,24,22,84.858,0.631,2.297,6,False,0.72,1.0
Australia,Williams,SAI,Race,MEDIUM,35,44,10,2,11,9,85.445,0.885,2.462,1,False,0.651,0.605
Australia,Williams,ALB,Race,HARD,20,32,13,8,20,12,85.734,0.602,1.601,0,False,1.0,0.64
Australia,Williams,SAI,Race,HARD,20,32,13,9,21,12,86.124,0.815,2.679,0,False,0.821,0.7
Australia,Williams,ALB,Race,MEDIUM,1,10,9,2,10,8,86.436,0.9,2.353,0,False,0.737,0.573
Australia,Williams,SAI,Race,SOFT,1,10,9,2,10,8,86.872,0.95,2.66,0,False,0.687,0.573
Canada,Alpine,GAS,FP,HARD,9,20,9,9,20,11,77.823,1.02,3.299,1,False,0.833,0.614
Canada,Aston Martin,ALO,FP,SOFT,15,22,6,8,15,7,77.541,0.928,2.468,0,False,0.96,0.505
Canada,Aston Martin,STR,FP,SOFT,13,21,5,6,14,8,77.748,0.26,0.705,0,False,1.0,0.306
Canada,Audi,BOR,FP,HARD,14,24,7,15,24,9,77.067,0.432,1.548,1,False,0.9,0.482
Canada,Cadillac,PER,FP,SOFT,12,22,11,12,22,10,78.306,0.453,1.292,0,False,1.0,0.53
Canada,Cadillac,BOT,FP,MEDIUM,16,22,7,16,22,6,78.428,0.15,0.412,1,False,0.9,0.271
Canada,Ferrari,LEC,FP,HARD,15,24,8,16,24,8,75.833,0.842,2.673,1,False,0.885,0.555
Canada,Ferrari,HAM,FP,HARD,15,26,8,15,26,11,75.944,0.896,3.006,1,False,0.869,0.595
Canada,Haas F1 Team,OCO,FP,HARD,11,21,8,11,21,10,77.522,0.716,2.345,0,False,1.0,0.582
Canada,Haas F1 Team,BEA,FP,HARD,10,15,6,10,15,5,78.66,0.516,1.455,1,False,0.9,0.396
Canada,McLaren,NOR,FP,HARD,14,23,4,16,23,7,75.245,0.245,0.592,1,False,0.9,0.257
Canada,McLaren,PIA,FP,HARD,15,21,7,15,21,6,76.329,0.609,1.87,3,False,0.72,0.49
Canada,Mercedes,RUS,FP,HARD,8,14,7,8,14,6,75.893,0.617,1.824,1,False,0.9,0.483
Canada,Mercedes,ANT,FP,HARD,8,12,5,8,12,4,75.994,0.376,0.983,1,False,0.9,0.293
Canada,Racing Bulls,LIN,FP,MEDIUM,13,22,7,13,22,9,76.867,0.689,1.711,2,False,0.8,0.507
Canada,Red Bull Racing,VER,FP,HARD,10,22,13,10,22,12,76.752,1.294,4.845,3,False,0.572,0.7
Canada,Red Bull Racing,HAD,FP,HARD,10,22,12,10,22,12,77.043,1.2,4.182,2,False,0.68,0.682
Canada,Williams,SAI,FP,HARD,17,28,11,17,28,11,77.203,0.568,1.745,2,False,0.8,0.612
Canada,Alpine,GAS,Race,HARD,53,67,13,24,37,13,75.895,0.405,1.463,4,False,0.72,0.633
