gara,pilota,team,pos_finale,classificato,tipo_arrivo,giri,sesT_fin,partenza,soste,n_soste
Monaco,ANT,Mercedes,1.0,True,pieno_giro,78,11931.182,MEDIUM,37:HARD;61:SOFT;66:SOFT;68:SOFT,4
Monaco,BEA,Haas F1 Team,20.0,False,RIT,28,5615.421,MEDIUM,1:HARD,2
Monaco,BOR,Audi,13.0,True,pieno_giro,78,11973.885,SOFT,1:HARD;43:MEDIUM;58:MEDIUM;59:SOFT;65:SOFT;67:SOFT;68:SOFT,7
Monaco,BOT,Cadillac,21.0,False,RIT,16,4660.643,SOFT,1:MEDIUM,2
Monaco,COL,Alpine,15.0,True,pieno_giro,78,11975.129,MEDIUM,35:HARD;59:HARD;65:HARD;67:SOFT;68:SOFT,5
Monaco,GAS,Alpine,3.0,True,pieno_giro,78,11951.487,MEDIUM,45:HARD;60:HARD;66:HARD;68:SOFT,4
Monaco,HAD,Red Bull Racing,4.0,True,pieno_giro,78,11954.604,MEDIUM,32:HARD;60:HARD;66:HARD;68:SOFT,4
Monaco,HAM,Ferrari,2.0,True,pieno_giro,78,11937.47,MEDIUM,28:HARD;60:SOFT;61:SOFT;66:SOFT;68:SOFT,5
Monaco,HUL,Audi,9.0,True,pieno_giro,78,11965.216,MEDIUM,12:HARD;58:HARD;59:HARD;65:HARD;67:SOFT;68:SOFT,6
Monaco,LAW,Racing Bulls,6.0,True,pieno_giro,78,11957.705,MEDIUM,44:SOFT;60:SOFT;66:SOFT;68:SOFT,4
Monaco,LEC,Ferrari,17.0,False,RIT,65,8834.713,MEDIUM,35:HARD;60:SOFT;61:SOFT,3
Monaco,LIN,Racing Bulls,7.0,True,pieno_giro,78,11960.123,MEDIUM,59:MEDIUM;65:MEDIUM;67:SOFT;68:SOFT,4
Monaco,NOR,McLaren,19.0,False,RIT,44,6794.519,MEDIUM,,1
Monaco,OCO,Haas F1 Team,10.0,True,pieno_giro,78,11968.314,MEDIUM,9:HARD;59:HARD;65:HARD;67:SOFT;68:SOFT,5
Monaco,PER,Cadillac,11.0,True,pieno_giro,78,11970.337,SOFT,4:MEDIUM;9:MEDIUM;59:SOFT;65:SOFT;67:SOFT;68:SOFT,6
Monaco,PIA,McLaren,5.0,True,pieno_giro,78,11955.39,MEDIUM,48:HARD;59:SOFT;60:SOFT;66:SOFT;68:SOFT,5
Monaco,RUS,Mercedes,14.0,True,pieno_giro,78,11974.51,MEDIUM,31:HARD;60:SOFT;66:SOFT;68:SOFT;72:SOFT,5
Monaco,SAI,Williams,16.0,True,doppiato,71,11482.821,MEDIUM,52:SOFT;59:SOFT;65:SOFT;67:SOFT;68:SOFT,5
Monaco,STR,Aston Martin,18.0,False,RIT,57,8834.713,MEDIUM,4:SOFT,1
Monaco,VER,Red Bull Racing,,False,NP,1,3402.391,MEDIUM,,0
Spagna,ALB,Williams,18.0,False,RIT,55,8810.457,MEDIUM,13:HARD;29:HARD;34:SOFT;50:SOFT,4
Spagna,ALO,Aston Martin,19.0,False,RIT,38,6612.613,HARD,21:HARD,1
Spagna,ANT,Mercedes,15.0,True,doppiato,62,8470.248,MEDIUM,14:HARD;37:HARD,2
Spagna,BEA,Haas F1 Team,17.0,True,doppiato,60,8418.787,MEDIUM,18:HARD;39:SOFT,3
Spagna,BOR,Audi,11.0,True,doppiato,64,8796.131,MEDIUM,15:HARD;33:HARD;53:SOFT,3
