baseA,baseB,gap0,gap_sim,gap_reale,err,drift,gara,L,A,B
81.5975,81.42882758620689,6.443000000000211,5.599637931034692,6.2520000000004075,0.652362068965715,0.19099999999980355,Australia,37,RUS,ANT
81.42882758620689,81.53822413793102,10.003999999999905,10.550982758620563,9.63000000000011,0.920982758620454,0.3739999999997963,Australia,37,ANT,LEC
81.53822413793102,81.974,6.118000000000393,8.29687931034529,5.097999999999956,3.1988793103453332,1.0200000000004366,Australia,37,LEC,HAM
81.974,81.88727586206896,10.753999999999905,10.320379310344691,36.774999999999636,26.454620689654945,26.02099999999973,Australia,37,HAM,VER
81.88727586206896,82.95924137931036,16.35199999999986,21.711827586206837,7.082000000000335,14.629827586206503,9.269999999999527,Australia,37,VER,LIN
82.95924137931036,83.05746551724138,1.1570000000001528,1.6481206896552862,-2.26299999999992,3.911120689655206,3.4200000000000728,Australia,37,LIN,BEA
83.33096551724138,83.3059827586207,0.31300000000010186,0.18808620689669908,-0.7289999999993597,0.9170862068960588,1.0419999999994616,Australia,37,OCO,GAS
83.3059827586207,82.59406896551724,1.5659999999998035,-1.993568965517511,-3.2049999999999272,1.2114310344824162,4.770999999999731,Australia,37,GAS,BOR
82.59406896551724,83.20462068965517,30.45600000000013,33.508758620689804,35.13999999999942,1.631241379309614,4.683999999999287,Australia,37,BOR,ALB
83.20462068965517,84.60206896551723,14.024000000000342,21.011241379310647,7.014000000000124,13.997241379310523,7.010000000000218,Australia,37,ALB,LAW
84.60206896551723,83.9708275862069,1.0419999999994616,-2.1142068965522327,12.835000000000036,14.949206896552269,11.793000000000575,Australia,37,LAW,COL
83.9708275862069,83.63962068965517,0.3010000000003856,-1.3550344827582137,0.6869999999998981,2.042034482758112,0.3859999999995125,Australia,37,COL,SAI
83.63962068965517,86.31994827586206,44.10199999999986,57.50363793103429,51.733000000000175,5.770637931034116,7.631000000000313,Australia,37,SAI,PER
95.972,94.823,0.850999999999658,-4.8940000000003465,1.5340000000005602,6.428000000000907,0.6830000000009022,Cina,16,ANT,HAM
94.823,95.10957142857143,2.0979999999999563,3.53085714285713,1.168999999999869,2.361857142857261,0.9290000000000873,Cina,16,HAM,LEC
95.10957142857143,96.66,1.720999999999549,9.473142857142392,0.5270000000000437,8.946142857142348,1.1939999999995052,Cina,16,LEC,RUS
96.66,96.34778571428572,0.6960000000008222,-0.865071428570559,13.189000000000306,14.054071428570865,12.492999999999483,Cina,16,RUS,COL
96.34778571428572,96.42699999999999,0.48099999999976717,0.8770714285711279,1.058999999999287,0.1819285714281591,0.5779999999995198,Cina,16,COL,OCO
96.42699999999999,96.93642857142856,1.1629999999995562,3.710142857142415,-1.8959999999997308,5.606142857142146,3.058999999999287,Cina,16,OCO,BEA
96.93642857142856,96.8295,0.5799999999999272,0.045357142857085364,5.252999999999702,5.207642857142616,4.6729999999997744,Cina,16,BEA,LIN
96.8295,96.633,0.5090000000000146,-0.47349999999998715,-2.988999999999578,2.515499999999591,3.4979999999995925,Cina,16,LIN,GAS
96.633,96.82971428571429,0.623000000000502,1.6065714285719679,0.4639999999999418,1.142571428572026,0.15900000000056025,Cina,16,GAS,HUL
96.82971428571429,96.818,0.1570000000001528,0.09842857142869832,-1.600999999999658,1.6994285714283563,1.7579999999998108,Cina,16,HUL,VER
96.818,97.24057142857143,1.2219999999997526,3.3348571428569045,3.5559999999995853,0.22114285714268078,2.3339999999998327,Cina,16,VER,LAW
97.24057142857143,97.23157142857143,0.524000000000342,0.47900000000034026,1.5850000000000364,1.1059999999996961,1.0609999999996944,Cina,16,LAW,SAI
97.23157142857143,97.02742857142857,0.7989999999999782,-0.22171428571429885,0.38699999999971624,0.6087142857140151,0.41200000000026193,Cina,16,SAI,HAD
97.02742857142857,97.756,1.9029999999993379,5.545857142856477,7.483000000000175,1.937142857143698,5.580000000000837,Cina,16,HAD,BOT
97.756,97.754,0.9270000000005894,0.9170000000006127,1.4840000000003783,0.5669999999997657,0.556999999999789,Cina,16,BOT,PER
97.754,98.9567142857143,1.3889999999992142,7.402571428570681,2.344000000000051,5.05857142857063,0.9550000000008367,Cina,16,PER,ALO
94.875,94.98028571428571,1.5340000000005602,2.060428571429128,5.411000000000058,3.3505714285709303,3.876999999999498,Cina,21,ANT,HAM
94.98028571428571,94.83807142857142,1.168999999999869,0.45792857142842536,0.24700000000029831,0.21092857142812704,0.9219999999995707,Cina,21,HAM,LEC
94.83807142857142,94.68464285714285,0.5270000000000437,-0.24014285714284256,0.6889999999993961,0.9291428571422387,0.16199999999935244,Cina,21,LEC,RUS
94.68464285714285,96.61664285714285,12.351999999999862,22.011999999999873,14.615999999999985,7.395999999999887,2.2640000000001237,Cina,21,RUS,BEA
96.61664285714285,96.46457142857143,0.8370000000004438,0.07664285714335506,4.999000000000706,4.922357142857351,4.162000000000262,Cina,21,BEA,COL
96.46457142857143,96.78728571428572,0.2899999999999636,1.9035714285713823,-2.9710000000004584,4.874571428571841,3.261000000000422,Cina,21,COL,VER
96.78728571428572,96.5817142857143,0.7689999999993233,-0.25885714285776373,3.493999999999687,3.752857142857451,2.725000000000364,Cina,21,VER,OCO
96.5817142857143,96.95621428571428,0.3680000000003929,2.24050000000031,0.49400000000059663,1.7464999999997133,0.12600000000020373,Cina,21,OCO,GAS
96.95621428571428,96.78471428571429,0.4639999999999418,-0.3935000000000315,1.8389999999999418,2.2324999999999733,1.375,Cina,21,GAS,HUL
96.78471428571429,96.86164285714285,1.9549999999999272,2.3396428571427634,1.3559999999997672,0.9836428571429963,0.5990000000001601,Cina,21,HUL,LAW
96.86164285714285,97.14414285714287,0.569999999999709,1.9824999999997743,3.0330000000003565,1.0505000000005822,2.4630000000006476,Cina,21,LAW,LIN
97.14414285714287,97.14935714285714,1.0150000000003274,1.0410714285716978,1.381999999999607,0.34092857142790933,0.3669999999992797,Cina,21,LIN,SAI
97.14935714285714,96.96921428571429,0.38699999999971624,-0.5137142857145562,-2.6849999999994907,2.1712857142849344,3.071999999999207,Cina,21,SAI,HAD
96.96921428571429,98.04842857142859,7.483000000000175,12.879071428571677,13.96599999999944,1.0869285714277623,6.482999999999265,Cina,21,HAD,BOT
98.04842857142859,97.7537142857143,1.4840000000003783,0.010428571428917621,1.96100000000024,1.9505714285713225,0.47699999999986176,Cina,21,BOT,PER
97.7537142857143,98.76828571428571,2.344000000000051,7.4168571428571255,1.6660000000001673,5.750857142856958,0.6779999999998836,Cina,21,PER,ALO
