blocco,regime,data,valore,ci_lo,ci_hi,kernel,gamma_s_per_giro,se_gamma,n_laps_gara,n_giri,n_piloti,n_stint,corr_giro_eta,sigma_residuo,degrado_medio_s_giro
2025 Canadian,2023-25,2025-06-15,2.7807,2.502,3.0593,2.9571,-0.0403,0.00206,70,551,20,45,0.323,0.494,0.0405
2025 Chinese,2023-25,2025-03-23,3.8777,3.4788,4.2767,2.9464,-0.0705,0.0037,56,607,19,36,0.717,0.52,0.0385
2025 Dutch,2023-25,2025-08-31,3.5498,3.3481,3.7515,2.9583,-0.05,0.00145,72,364,19,37,0.387,0.342,0.0794
2025 Emilia Romagna,2023-25,2025-05-18,3.396,3.0002,3.7918,2.9524,-0.05477,0.00326,63,403,20,43,0.315,0.417,0.0507
2025 Hungarian,2023-25,2025-08-03,2.6037,2.0774,3.1301,2.9571,-0.03774,0.00389,70,637,20,43,0.411,0.646,0.0524
2025 Italian,2023-25,2025-09-07,2.8798,2.7507,3.0089,2.9434,-0.05538,0.00127,53,449,19,28,0.329,0.243,0.0145
2025 Japanese,2023-25,2025-04-06,3.7159,3.6242,3.8076,2.9434,-0.07146,0.0009,53,485,18,32,0.462,0.359,0.0369
2025 Las Vegas,2023-25,2025-11-23,3.5738,3.2285,3.9191,2.94,-0.07294,0.0036,50,458,18,29,0.547,0.506,0.034
2025 Mexico City,2023-25,2025-10-26,2.9189,2.7482,3.0895,2.9577,-0.0417,0.00124,71,624,19,40,0.245,0.383,0.0538
2025 Monaco,2023-25,2025-05-25,2.3461,1.3596,3.3327,2.9615,-0.03047,0.00654,78,563,19,45,0.483,1.239,0.0312
2025 Qatar,2023-25,2025-11-30,3.1182,2.5404,3.696,2.9474,-0.05568,0.00526,57,336,17,29,0.365,0.458,0.0243
2025 Saudi Arabian,2023-25,2025-04-20,2.5244,2.0993,2.9495,2.94,-0.05152,0.00443,50,456,18,33,0.434,0.547,0.0502
2025 Singapore,2023-25,2025-10-05,2.8856,2.1467,3.6245,2.9516,-0.0473,0.00618,62,592,20,40,0.563,0.822,0.0533
2025 Spanish,2023-25,2025-06-01,3.6062,3.1445,4.068,2.9545,-0.05548,0.00362,66,561,19,60,0.225,0.522,0.0765
2025 São Paulo,2023-25,2025-11-09,2.1125,1.8786,2.3464,2.9577,-0.03018,0.0017,71,544,18,43,0.122,0.315,0.0655
2025 United States,2023-25,2025-10-19,2.7184,2.5868,2.8499,2.9464,-0.04943,0.00122,56,532,19,35,0.186,0.388,0.0475
2026 Australia,2026,2026-03-08,1.7131,1.2147,2.2115,2.9483,-0.03005,0.00446,58,544,20,44,0.613,0.652,0.0389
2026 Austria,2026,2026-06-28,2.3385,2.0837,2.5932,2.9577,-0.03341,0.00186,71,743,20,57,0.399,0.563,0.0796
2026 Belgian,2026,2026-07-19,2.0206,1.0261,3.0151,2.9318,-0.04699,0.0118,44,379,21,39,0.495,0.682,0.0671
2026 British,2026,2026-07-05,3.0099,2.6854,3.3343,2.9423,-0.05902,0.00325,52,525,22,48,0.252,0.516,0.0517
2026 Canada,2026,2026-05-24,2.0493,1.704,2.3947,2.9559,-0.03059,0.00263,68,630,21,46,0.546,0.832,-0.0122
2026 Cina,2026,2026-03-15,3.4235,3.0641,3.7828,2.9464,-0.06225,0.00333,56,400,18,29,0.782,0.454,0.0882
2026 Giappone,2026,2026-03-29,4.3918,3.467,5.3166,2.9434,-0.08446,0.00907,53,394,21,36,0.821,0.428,0.0749
2026 Miami,2026,2026-05-03,0.0026,-1.3021,1.3074,2.9474,-5e-05,0.01189,57,498,20,37,0.263,0.576,-0.0049
2026 Monaco,2026,2026-06-07,1.288,-0.0249,2.6008,2.9615,-0.01673,0.0087,78,756,21,47,0.18,0.92,0.0355
2026 Spagna,2026,2026-06-14,3.9133,3.696,4.1306,2.9545,-0.0602,0.00171,66,631,21,63,0.527,0.672,0.1631
